Date,Price,Open,High,Low
11-Apr-18,72.06,71.03,73.09,70.57
10-Apr-18,71.04,68.46,71.34,68.46
9-Apr-18,68.65,67.1,68.8,67
6-Apr-18,67.11,68.09,68.62,66.86
5-Apr-18,68.33,68.36,68.93,67.73
4-Apr-18,68.02,68.15,68.28,66.69
3-Apr-18,68.12,67.63,68.46,67.62
2-Apr-18,67.64,69.32,70.04,67.49
29-Mar-18,70.27,69.86,70.44,69.1
28-Mar-18,69.53,69.72,70.25,68.78
27-Mar-18,70.11,70.13,71.03,69.45
26-Mar-18,70.12,70.43,71.05,69.67
23-Mar-18,70.45,69.11,70.57,68.87
22-Mar-18,68.91,69.63,69.7,68.58
21-Mar-18,69.47,67.61,69.86,67.48
20-Mar-18,67.42,66.15,67.88,66.15
19-Mar-18,66.05,66.01,66.39,65.39
16-Mar-18,66.21,65.07,66.42,64.88
15-Mar-18,65.12,64.9,65.38,64.61
14-Mar-18,64.89,64.73,65.21,64.06
13-Mar-18,64.64,64.92,65.68,64.05
12-Mar-18,64.95,65.5,65.86,64.18
9-Mar-18,65.49,63.93,65.63,63.69
8-Mar-18,63.61,64.51,64.56,63.43
7-Mar-18,64.34,65.23,65.8,63.83
6-Mar-18,65.79,65.74,66.16,65.3
5-Mar-18,65.54,64.65,65.88,64.1
2-Mar-18,64.37,64.07,64.64,63.2
1-Mar-18,63.83,64.57,65.04,63.19
28-Feb-18,65.78,66.41,66.87,65.43
27-Feb-18,66.63,67.57,67.61,66.32
26-Feb-18,67.5,67.29,67.9,66.72
23-Feb-18,67.31,66.3,67.37,65.79
22-Feb-18,66.39,64.91,66.56,64.62
21-Feb-18,65.42,65.05,65.53,64.4
20-Feb-18,65.25,65.64,65.81,64.78
19-Feb-18,65.67,64.96,65.9,64.84
16-Feb-18,64.84,64.66,65.22,64.19
15-Feb-18,64.33,64.44,65.15,63.12
14-Feb-18,64.36,62.84,64.58,61.95
13-Feb-18,62.72,62.85,63.1,61.76
12-Feb-18,62.59,62.5,64.4,62.5
9-Feb-18,62.79,64.44,64.64,61.77
8-Feb-18,64.81,65.28,65.6,64.1
7-Feb-18,65.51,67.2,67.72,65.16
6-Feb-18,66.86,67.02,67.6,66.53
5-Feb-18,67.62,68.15,68.46,66.9
2-Feb-18,68.58,70,70.02,67.96
1-Feb-18,69.65,69,69.97,68.81
31-Jan-18,69.05,68.43,69.15,68.33
30-Jan-18,69.02,69.3,69.39,68.4
29-Jan-18,69.46,70.47,70.64,69.07
26-Jan-18,70.52,70.07,70.83,70.05
25-Jan-18,70.42,70.95,71.28,69.97
24-Jan-18,70.53,69.97,70.94,69.54
23-Jan-18,69.96,69.17,70.24,69.12
22-Jan-18,69.03,68.8,69.51,68.39
19-Jan-18,68.61,69.01,69.08,68.28
18-Jan-18,69.31,69.53,69.63,68.8
17-Jan-18,69.38,69.35,69.59,68.55
16-Jan-18,69.15,70.05,70.13,68.83
15-Jan-18,70.26,69.88,70.37,69.55
12-Jan-18,69.87,69.15,69.93,68.59
11-Jan-18,69.26,69.15,70.05,69
10-Jan-18,69.2,69.12,69.37,68.75
9-Jan-18,68.82,68,69.29,67.7
8-Jan-18,67.78,67.8,67.99,67.44
5-Jan-18,67.62,67.97,68.11,67.26
4-Jan-18,68.07,67.89,68.27,67.62
3-Jan-18,67.84,66.54,68.03,66.4
2-Jan-18,66.57,66.55,67.29,66.24
29-Dec-17,66.87,66.15,66.98,66.15
28-Dec-17,66.72,66.43,66.85,66.23
27-Dec-17,66.44,66.76,66.94,66.03
26-Dec-17,67.02,65.2,67.1,65
22-Dec-17,65.25,64.63,65.28,64.38
21-Dec-17,64.9,64.49,64.93,64.2
20-Dec-17,64.56,63.83,64.6,63.67
19-Dec-17,63.8,63.41,63.91,63.3
18-Dec-17,63.41,63.36,63.91,63
15-Dec-17,63.23,63.39,63.68,63.08
14-Dec-17,63.31,62.81,63.5,62.01
13-Dec-17,62.44,63.8,64.32,62.36
12-Dec-17,63.34,64.66,65.83,63.07
11-Dec-17,64.69,63.29,64.93,62.99
8-Dec-17,63.4,62.08,63.64,62.01
7-Dec-17,62.2,61.3,62.26,61.15
6-Dec-17,61.22,62.64,62.93,61.13
5-Dec-17,62.86,62.45,63.15,62.12
4-Dec-17,62.45,63.5,63.68,62.31
1-Dec-17,63.73,62.74,64.32,62.59
30-Nov-17,63.57,63.28,64.21,63.21
29-Nov-17,63.11,63.3,64.07,62.5
28-Nov-17,63.61,63.78,63.89,63.1
27-Nov-17,63.84,63.8,63.99,63.1
24-Nov-17,63.86,63.35,63.95,63.28
23-Nov-17,63.55,63.24,63.57,62.88
22-Nov-17,63.32,62.78,63.43,62.62
21-Nov-17,62.57,62.1,62.87,62.07
20-Nov-17,62.22,62.8,62.8,61.44
17-Nov-17,62.72,61.41,62.92,61.08
16-Nov-17,61.36,61.88,62.15,61.25
15-Nov-17,61.87,61.55,62.13,61.3
14-Nov-17,62.21,63.06,63.17,61.21
13-Nov-17,63.16,63.68,63.77,62.61
10-Nov-17,63.52,63.8,64.27,63.35
9-Nov-17,63.93,63.52,64.25,63.26
8-Nov-17,63.49,63.69,64.64,62.95
7-Nov-17,63.69,64.12,64.65,63.5
6-Nov-17,64.27,62.27,64.44,62.08
3-Nov-17,62.07,60.88,62.23,60.6
2-Nov-17,60.62,60.5,60.86,60.02
1-Nov-17,60.49,61.07,61.7,60
31-Oct-17,61.37,60.86,61.41,60.53
30-Oct-17,60.9,60.66,61,60.14
27-Oct-17,60.44,59.37,60.65,58.82
26-Oct-17,59.3,58.42,59.55,58.05
25-Oct-17,58.44,58.44,58.74,57.85
24-Oct-17,58.33,57.41,58.57,57.04
23-Oct-17,57.37,57.95,58.05,57.27
20-Oct-17,57.75,57.32,57.94,56.6
19-Oct-17,57.23,58.24,58.3,57.02
18-Oct-17,58.15,58.16,58.54,57.74
17-Oct-17,57.88,57.78,58.35,57.18
16-Oct-17,57.82,57.28,58.47,57.12
13-Oct-17,57.17,56.44,57.57,56.34
12-Oct-17,56.25,56.74,56.83,55.88
11-Oct-17,56.94,56.56,57.09,56.14
10-Oct-17,56.61,55.78,56.91,55.73
9-Oct-17,55.79,55.5,55.98,55.06
6-Oct-17,55.62,56.99,57.28,55.13
5-Oct-17,57,55.77,57.24,55.7
4-Oct-17,55.8,55.67,56.2,55.38
3-Oct-17,56,56.1,56.4,55.7
2-Oct-17,56.12,56.73,56.76,55.5
29-Sep-17,57.54,57.6,57.8,57.14
28-Sep-17,57.41,57.7,58.65,56.85
27-Sep-17,57.9,58.57,58.89,57.57
26-Sep-17,58.44,59.05,59.49,57.77
25-Sep-17,59.02,56.87,59.25,56.7
22-Sep-17,56.86,56.5,56.91,56.22
21-Sep-17,56.43,56.17,56.53,55.76
20-Sep-17,56.29,55.35,56.48,55.26
19-Sep-17,55.14,55.48,55.89,54.89
18-Sep-17,55.48,55.59,55.95,54.82
15-Sep-17,55.62,55.29,55.85,54.86
14-Sep-17,55.47,55.02,55.99,54.93
13-Sep-17,55.16,54.18,55.21,54.03
