Company Symbol,Security,GICS Sector,GICS Sub-Industry,Shares,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,200297000,53.54,56.31,51.48,37.85,38.92,37.97,35.06,36.81,37.01,32.78,37.55,46.25
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,1430163000,54.33,57.55,55.6,48.68,50.7,52.25,51.08,55.49,58.2,57.91,54.34,58.46
MNST,Monster Beverage,Consumer Staples,Soft Drinks,527917000,63.7,67.42,64.77,53.1,59.52,72.59,69.03,77.84,84.84,81.48,77.92,86.68
MCO,Moody's Corp,Financials,Financial Exchanges & Data,187800000,241.72,261.01,259.52,197.55,241.84,277.04,278.39,280.63,296.07,293.5,265.93,279.2
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,1809198000,52.04,52.6,46.48,31.62,38.4,44.7,47.61,49.46,52.58,47.26,49.38,63.28
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,379090000,21.43,19.96,17.66,10.11,11.15,12.52,12.37,13.68,18.7,17.79,19.56,21.76
MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,169523000,161.63,176.03,173.49,126.09,138.83,138.94,135.97,137.54,153.77,156.79,163.47,170.5
MSCI,MSCI Inc,Financials,Financial Exchanges & Data,82895000,266.05,292.65,315.53,271.28,319.94,335.37,340.93,371.91,377.56,359.54,356.85,414.5
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,164038000,107.82,117.79,110.12,92.27,106.62,118.88,120.76,130.35,134.82,123.92,123.18,129.91
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,388264000,25.26,20.87,19.82,9.35,11.7,12.5,11.81,11.59,11.94,8.66,9.11,12.7
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",223385000,62.77,54.04,47.57,40.01,41.48,42.67,43.51,42.77,46.68,42.89,44.94,54.16
NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,441795000,329.81,358,381.05,364.08,415.27,425.92,485.64,498.62,556.55,527.51,484.12,504.58
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,424300000,19.08,19.71,16.45,12.39,12.28,13.46,15.78,16.39,15.73,17.01,18.91,21.44
NEM,Newmont Corporation,Materials,Gold,803358000,43.22,45.59,46.83,46.47,60.99,60.49,61.36,68.15,67.02,62.83,64.73,60.21
NWSA,News Corp. Class A,Communication Services,Publishing,390955000,14.44,13.64,12.43,8.64,9.48,12.19,12.08,13,15.18,14.18,13.29,18.07
NWS,News Corp. Class B,Communication Services,Publishing,199630000,14.81,14.02,12.66,8.59,9.7,12.24,12.12,12.98,15.1,14.15,13.19,18.25
